Company Name,Company Website
365 Retail Markets,https://365retailmarkets.au/
Actabl,https://actabl.com/
Admit One Products,https://www.admitoneproducts.com/
AEI Communications Corporation,https://aeicommunications.com/
Agilysys,https://www.agilysys.com/en/
Aiosell Technologies,https://aiosell.com/
Akia,https://akia.com/
Allbridge,https://allbridge.io/
AllianceHCM,https://alliancehcm.com/
Amadeus,https://amadeus.com/en
Anand Systems (ASI),https://anandsystems.com/
Annette - The Virtual Hotel Agent,https://traveloutlook.com/annette/
ANTlabs,https://www.antlabs.com/
Aptech,https://www.aptech.com.au/
Ascent360,https://ascent360.com/
Ascentium Capital,https://ascentiumcapital.com/
Auxilyum Technologies,https://auxilyumtechnologies.com/
AvidXchange,https://www.avidxchange.com/
b4,https://b4.education.tas.gov.au/
BEACHY,https://www.beachyapp.com/
Benbria Corporation,https://benbria.com/
BirchStreet Systems,https://birchstreetsystems.com/
Bittel Americas,https://bittelamericas.com/
Blueport,https://www.blueport.io/
BluIP,https://www.bluip.com/
Bodhi,https://bodhispa.com/
Broadband Hospitality (BBH),https://broadbandhospitality.com/
CallTek,https://calltekinc.com/
Canary Technologies,https://www.canarytechnologies.com/
Cedar Electronics,https://cedarelectronics.com/
Chargeback Gurus,https://www.chargebackgurus.com/
Chargerback Lost and Found Solutions,https://www.chargerback.com/
Chetu Inc.,https://www.chetu.com/
Clear Digital,https://www.getcleardigital.com/
Clear Sky Software,https://www.clearskysoftware.com/
Cloud5 Communications,https://cloud5.com/
Cloudbeds,https://www.cloudbeds.com/
CMIT Solutions,https://cmitsolutions.com/
CNN International,https://edition.cnn.com/
Cogwheel Marketing & Analytics,https://cogwheelmarketing.com/
ComOps,https://www.comops.com/
Corpay,https://www.corpay.com/
Cox Business | Hospitality Network | BlueprintRF,https://www.cox.com/business/enterprise/hospitality.html
Crave Interactive,https://craveinteractive.com/
Cvent,https://www.cvent.com/au
dailypoint™,https://www.dailypoint.com/startseite
"Data Plus, Inc",https://hotelfms.com/
Dense Air Networks,https://denseair.net/
Digi International Inc,https://www.digi.com/
DISH Business,https://www.dish.com/business
dormakaba USA Inc,https://www.dormakaba.com/us-en
Duetto,https://www.duettocloud.com/en-us/
DuVoice Corporation,http://www.duvoice.com/
Easygoband,https://www.easygoband.com/
Edenred Pay,https://edenredpay.com/
Ediphi,https://www.ediphi.com/
EISI SOFT,https://eisisoft.com/en
Elavon,https://www.elavon.com/
Electro-Media Design and AVaStar,https://www.avastar.io/services/electro-media-design
Eleven,https://www.elevensoftware.com/
Eng Infotech,https://www.enginfotech.com/
EnGenius Technologies,https://www.engeniustech.com/
"Enseo, Inc.",https://enseo.com/
eTip,https://etip.io/
Evention LLC,https://www.eventionllc.com/
Fairmas,https://fairmas.com/
Fetch,https://www.fetchtv.com.au/
FLEXIPASS Keyless Mobile Access,https://flexipass.tech/
Flyte Systems,https://www.flytesystems.com/
Fourteen IP,https://fourteenip.com/
FreedomPay,https://corporate.freedompay.com/
FreshAir Sensor,https://freshairsensor.com/
Fuel Travel,https://www.fueltravel.com/
Gallus,https://gallusgolf.com/
GLOBAL CARD SYSTEMS INC,https://www.gcstimes.com/
GPO Retro,https://www.gporetro.com/
Grandstream,https://www.grandstream.com/
Granite Telecommunications,https://granitetelecommunications.com.au/
GrayMatter Networks,https://graymatternetworks.com/
Growth Advisors International Network - GAIN,https://gainadvisors.com/
HaloSOS,https://www.halosos.com/
"Hapi (Data Travel, LLC)",https://www.hapicloud.io/
HFTP Certification,https://www.hftp.org/professional-development/academy
HFTP Membership,https://www.hftp.org/
HiJiffy,https://www.hijiffy.com/
